date,stars,forks,updater_pings,dmg_downloads,all_asset_downloads,latest_tag
2026-06-26T16:43:26Z,8,0,7,234,282,v1.0.1
2026-06-27T09:07:28Z,8,0,8,234,284,v1.0.1
2026-06-28T09:35:03Z,8,0,12,236,290,v1.0.1
2026-06-29T11:25:51Z,8,0,14,236,293,v1.0.1
2026-06-30T10:03:33Z,8,0,17,236,296,v1.0.1
2026-07-01T10:17:34Z,8,0,24,236,305,v1.0.1
2026-07-02T09:36:31Z,8,0,34,237,316,v1.0.1
2026-07-03T09:37:37Z,8,0,37,237,327,v1.0.1
2026-07-04T09:02:27Z,8,0,38,238,329,v1.0.1
2026-07-05T09:24:10Z,9,0,44,238,336,v1.0.1
2026-07-06T11:06:59Z,9,0,48,239,341,v1.0.1
2026-07-07T10:02:35Z,9,0,54,240,348,v1.0.1
2026-07-08T08:46:49Z,9,0,69,241,365,v1.0.1
2026-07-09T10:04:30Z,9,0,76,242,373,v1.0.1
2026-07-10T09:55:01Z,9,0,84,244,383,v1.0.1
2026-07-11T08:16:14Z,9,0,87,244,386,v1.0.1
2026-07-12T08:32:55Z,9,0,88,245,388,v1.0.1
2026-07-13T09:49:32Z,10,0,96,246,397,v1.0.1
2026-07-14T08:30:05Z,10,0,102,249,406,v1.0.1
2026-07-15T08:38:00Z,10,0,109,249,414,v1.0.1
2026-07-16T08:36:23Z,10,0,121,249,426,v1.0.1
2026-07-17T08:30:09Z,10,0,130,251,437,v1.0.1
2026-07-18T08:11:13Z,10,0,131,253,440,v1.0.1
2026-07-19T08:36:26Z,10,0,131,254,441,v1.0.1
2026-07-20T09:37:10Z,10,0,132,254,442,v1.0.1
2026-07-21T09:03:59Z,10,0,136,254,446,v1.0.1
2026-07-22T08:47:11Z,10,0,140,254,450,v1.0.1
2026-07-23T08:46:42Z,10,0,147,254,457,v1.0.1
2026-07-24T08:44:51Z,10,1,151,254,461,v1.0.1
2026-07-25T08:26:02Z,10,1,155,256,468,v1.0.1
2026-07-26T08:40:57Z,11,1,157,258,472,v1.0.1
2026-07-27T10:11:23Z,11,1,159,259,475,v1.0.1
2026-07-28T09:08:12Z,11,1,163,263,484,v1.0.1
2026-07-29T09:13:11Z,11,1,165,263,486,v1.0.1
2026-07-30T09:06:18Z,11,1,169,263,490,v1.0.1
2026-07-31T09:19:12Z,11,1,186,265,509,v1.0.1
2026-08-01T08:35:21Z,11,1,188,265,511,v1.0.1
2026-08-02T08:38:27Z,11,1,188,265,511,v1.0.1
2026-08-03T10:08:10Z,11,1,190,265,513,v1.0.1
2026-08-04T09:13:02Z,11,1,192,265,515,v1.0.1
2026-08-05T09:09:28Z,11,1,198,266,522,v1.0.1
2026-08-06T09:09:38Z,11,1,202,267,527,v1.0.1
2026-08-07T07:45:17Z,12,1,212,268,538,v1.0.1
2026-08-08T07:17:46Z,12,1,217,270,545,v1.0.1
2026-08-09T07:25:33Z,12,1,227,270,555,v1.0.1
2026-08-10T08:07:45Z,12,1,232,270,560,v1.0.1
2026-08-11T07:40:32Z,12,1,244,270,572,v1.0.1
2026-08-12T07:55:17Z,12,1,253,271,582,v1.0.1
2026-08-13T07:56:14Z,12,1,255,271,584,v1.0.1
2026-08-14T07:53:24Z,12,1,259,271,588,v1.0.1
2026-08-15T07:00:14Z,12,1,259,271,589,v1.0.1
2026-08-16T07:02:04Z,12,1,259,271,589,v1.0.1
2026-08-17T07:25:27Z,12,1,263,271,593,v1.0.1
2026-08-18T07:07:37Z,12,1,274,275,609,v1.0.1
2026-08-19T07:08:17Z,12,1,280,277,617,v1.0.1
2026-08-20T07:09:42Z,12,1,293,281,635,v1.0.1
2026-08-21T07:10:24Z,12,1,298,283,642,v1.0.1
2026-08-22T07:02:08Z,14,1,1,286,661,v1.1.0
